id	name sk	question sk	description sk	order sk	koef sk	name cs - vzor	question cs - vzor	description cs - vzor
11	Zastavenie zozširovania EÚ	EÚ by mala zastaviť prijímanie ďalších krajín.	V súčasnej dobe sú oficiálnymi kandidátmi na členstvo Čierna Hora, Island, Macedónsko, Srbsko a Turecko.	29		Zastavení rozšiřování EU	EU by měla zastavit přijímání dalších zemí.	V současné době jsou oficiálními kandidáty na členství Černá Hora, Island, Makedonie, Srbsko a Turecko. 
12	Daň z finančných transakcií	EÚ by mala zaviesť daň z finančných transakcií ("tzv. Tobinovu daň")	Podľa zástancov by daň z finančných transakcií (tzv. "Tobinova daň", približne 0.01% - 0.1%) mala zabráňovať finančným špekuláciám. Kritici argumentujú, že takéto opatrenie by muselo byť zavedené celosvetovo, inak by viedlo k veľkému presunu firiem za hranice EÚ.	13		Daň z finančních transakcí	EU by měla zavést daň z finančních transakcí ("tzv. Tobinovu daň")	Podle zastánců by daň z finančních transakcí (tzv. "Tobinova daň", zhruba 0.01%-0.1%) měla zabraňovat finančním spekulacím. Kritici argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 
13	Európska armáda	EÚ by mala mať vlastnú armádu.	V súčasnej dobe EÚ nemá, okrem výnimiek ako bojové skupiny, vlastnú armádu. Podľa zástancov by existencia spoločnej armády zvýšila postavenie EÚ na medzinárodnej scéne a prispela k riešeniu konfliktov. Podľa kritikov by obrana mala ostať iba v rukách členských štátov.	18		Evropská armáda	EU by měla mít vlastní armádu.	V současné době EU nemá, krom výjimek jako bitevní skupiny, vlastní armádu. Podle zastánců by existence společné armády zvýšilo postavení EU na mezinárodní scéně a přispělo k řešení konfliktů. Podle kritiků by obrana měla zůstat pouze v rukou členských států.
14	Odvolateľnosť komisárov	Európsky parlament by mal mať možnosť odvolať jednotlivých európskych komisárov.	Komisári sú do svojej funkcie navrhovaní členskými štátmi. Komisia ("európska vláda") ako celok je schválená Európskym parlamentom. Jediný spôsob, akým môže byť celá komisia odvolaná, je vyhlásenie nedôvery Európskym parlamentom s dvoma tretinami hlasov jeho poslancov. Odvolať jednotlivých komisárov parlament nemôže.			Odvolatelnost komisařů	Evropský parlament by měl mít možnost odvolat jednotlivé evropské komisaře	Komisaři jsou do své funkce navrhováni členskými státy. Komise ("evropská vláda") jako celek je schválena Evropským parlamentem. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců. Odvolat jednotlivého komisaře parlament nemůže.
15	Zahraničná politika EÚ	Viac oblastí zahraničnej politiky by malo byť rozhodovaných na úrovni EÚ.	EÚ si dala možnosť vykonávať spoločnú zahraničnú a bezpečnostnú politiku ale táto možnosť sa využíva iba obmedzene. Pre členské štáty sú ciele síce záväzné ale európske právo nemá žiadne sankcie za ich porušenie.	20		Zahraniční politika EU	Více oblastí zahraniční politiky by mělo být rozhodováno na úrovni EU.	EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, ale tato možnost se využívá jen omezeně. Pro členské státy jsou cíle sice závazné, ale evropské právo nemá žádné sankce za porušení.
16	Rozvojová pomoc EÚ	EÚ by mala zvýšiť prostriedky na zahraničnú pomoc.	EÚ je najväčším svetovým poskytovateľom rozvojovej pomoci. Podľa zástancov rozvojová pomoc pomáha v cieľových krajinách a zabraňuje tak okrem iného populačnej explózii a znižuje emigráciu do bohatších krajín, napr krajín EÚ. Podľa odporcov je podstatná časť rozkradnutá vládnymi vrstvami a zločineckými štruktúrami a nedostane sa tak k tým, ktorým je určená.	14	-9	Rozvojová pomoc EU	EU by měla zvýšit prostředky na zahraniční pomoc.	EU je největším světovým poskytovatelem rozvojové pomoci. Podle zastánců rozvojová pomoc pomáhá v cílových zemích a zabraňuje tak mj. populační explozi a snižuje emigraci do bohatších zemí, např. zemí EU. Podle odpůrců podstatná část je rozkradena vládními vrstvami a zločineckými strukturami a nedostane se tak k těm, kterým je určena.
17	Spoločné európske dlhopisy	Mali by byť zavedené spoločné európske dlhopisy pre krajiny eurozóny.	Prostredníctvom spoločných európskych dlhopisov (eurobondov) by investori požičiavali financie eurozóne ako celku. Eurobondy majú pomôcť riešiť dlhovú krízu znížením nákladov úverov pre krajiny ako Grécko alebo Portugalsko, čo by pomohlo im aj celej eurozóne. Kritici upozorňujú na morálny hazard, jednotlivé krajiny by niesli nižšie riziko a mohli sa správať nezodpovedne.	9		Společné evropské dluhopisy	Měly by být zavedeny společné evropské dluhopisy pro země eurozóny.	Pomocí společných evropských dluhopisů (eurobondů) by investoři půjčovali finance eurozóně jako celku. Eurobondy mají pomoci řešit dluhovou krizi snížením nákladů úvěrů pro země jako Řecko nebo Portugalsko, což by pomohlo jim i celé eurozóně. Kritici upozorňují na morální hazard, jednotlivé země by nesly nižší riziko a mohly se chovat nezodpovědně.
18	Sobáše osôb rovnakého pohlavia	Členské štáty musia uznať sobáše osôb ronakého pohlavia, ktoré sú uzavreté v inej členskej krajine EÚ.	Európsky súd pre ľudské práva v roku 2010 rozhodol, že registrované partnerstvo nie je ľudským právom a zmluvné štáty nie sú povinné ho umožňovať uzavrieť a uznávať. Zástancovia požadujú rovnaké práva pre homosexuálne dvojice v celej EÚ. Odporcovia odmietajú uznať registrované partnerstvo napr. z náboženských dôvodov.	21		Sňatky osob stejného pohlaví 	Členské státy musí uznat sňatky osob stejného pohlaví, které jsou uzavřeny v jiné členské zemi EU.	Evropský soud pro lidská práva v roce 2010 rozhodl, že registrované partnerství není lidským právem a smluvní státy nemají povinnost jej umožňovat uzavřít a uznávat. Zastánci požadují stejná práva pro homosexuální dvojice v celé EU. Odpůrci odmítají uznávat registrované partnerství např. z náboženských důvodů.
19	Azylové zákony	Podmienky pre udelenie azylu by mali byť rovnaké vo všetkých členských štátoch EÚ.	Podľa zástancov by zjednotenie podmienok pre udelenie azylu zamedzilo "prelievanie" ľudí, hľadajúcich azyl, z jednej krajiny EÚ do inej. Odporcovia naopak argumentujú, že situácia sa v jednotlivých štátoch líši, preto by regulácia udeľovania azylu mala zostať na národnej úrovni.	22		Azylové zákony	Podmínky pro udělení azylu by měly být stejné ve všech členských státech EU	Podle zastánců by sjednocení podmínek pro udělení azylu zamezilo "přelévání" lidí, hledajících azyl, z jedné země EU do jiné. Odpůrci naopak argumentují, že situace se liší v jednotlivých státech, proto by regulace udělování azylu měla zůstat na národní úrovni.
20	Európske dane	EÚ by mala vyberať európske dane, ktoré by nahradili existujúce príspevky členských štátov.	V súčasnosti väčšina príjmov EÚ pochádza z príspevkov jednotlivých krajín na základe výšky ich hrubého národného produktu. Zavedením európskej dane by sa zvýšila nezávislosť rozpočtu EÚ na členských krajinách.	24		Evropské daně	EU by měla vybírat evropské daně, které by nahradily existující příspěvky členských států.	V současné době většina příjmů EU pochází z příspěvků jednotlivých zemí na základě výše jejich hrubého národního produktu. Zavedením evropské daně by se zvýšila nezávislost rozpočtu EU na členských zemích.
22	Federalizácia EÚ	EÚ by sa mala stať federáciou.	Štátna moc je vo federácii rozložená medzi federálne orgány a orgány členských krajín, čo je zaistené ústavou. Federáciou sú napr USA, Rusko, Brazília alebo India. Naopak ale arabské alebo latinsko-americkej krajiny sú samostatné, aj napriek tomu že sa tam hovorí jedným jazykom.	30		Federalizace EU	EU by se měla stát federací.	Státní moc je ve federaci rozložena mezi federální orgány a orgány členských zemí, což je zajištěno ústavou. Federací jsou např. USA, Rusko, Brazílie nebo Indie. Naopak ale arabské nebo latinsko-americké země jsou samostatné, i přesto že se tam mluví jedním jazykem. 
23	Komisie podľa volieb	Zloženie Európskej komisie by malo zodpovedať výsledkom eurovolieb.	Do Európskej komisie ("európskej vlády") jej komisára teraz nominujú vlády členských krajín EÚ. Komisia teda nezodpovedá výsledkom eurovolieb, napr je v nej jeden nutne jeden komisár z každej krajiny (z najväčšieho Nemecka aj z najmenšej Malty).	2		Komise dle voleb	Složení Evropské komise by mělo odpovídat výsledkům eurovoleb.	Do Evropské komise ("evropské vlády") její komisaře nyní nominují vlády členských zemí EU. Komise tedy neodpovídá výsledkům eurovoleb, např. je v ní jeden nutně jeden komisař z každé země (z největšího Německa i z nejmenší Malty). 
24	Európske referendum	Mala by byť možnosť vypísania celoeurópskeho referenda na základe petície.	Slovenský občan môže vyvolať referendum na miestnej, krajskej a celoštátnej úrovni, ale nie na celoeurópskej. Podľa zástancov by zavedenie európskeho referenda zvýšilo možnosť občanov rozhodovať, podľa odporcov by bolo nákladné a mohlo by viesť k prijímaniu populistických opatrení.	10		Evropské referendum	Měla by být možnost vypsání celoevropského referenda na základě petice. 	Slovenský občan může vyvolat referendum na místní a krajské úrovni, nikoli na celostátní nebo celoevropské. Podle zastánců by zavedení evropského referenda zvýšilo možnost občanů rozhodovat, podle odpůrců by bylo nákladné a mohlo by vést k přijímání populistických opatření.
25	Zrušenie letného času	Letný čas by mal byť zrušený.	Letný čas sa používa, pretože mnoho aktivít v spoločnosti sa riadi hodinami a nemení sa v priebehu roka (školy, zamestnania), hoci čas denného svetla sa mení. Pôvodne bol zavedený s cieľom šetriť energiu, hoci teraz je už tento efekt minimálny. Letný čas je zavádzaný po celej Európe, prvýkrát na svete v Rakúsko-Uhorsku v roku 1916.			Zrušení letního času 	Letní čas by měl být zrušen.	Letní čas se používá, neboť mnoho aktivit ve společnosti se řídí hodinami a nemění se v průběhu roku (školy, zaměstnání), ač čas denního světla se mění. Původně byl zaveden s cílem šetřit energii, ačkoli nyní je již tento efekt minimální. Letní čas je zaváděn po celé Evropě, poprvé na světě v Rakousku-Uhersku 1916.
26	Euro-záruka na tovar	Tovar zakúpený v EÚ by malo byť možné reklamovať u rovnakej firmy v akejkoľvek krajine EÚ.	Obyčajne nemožno reklamovať tovar u pobočky rovnakej firmy v inej krajine EÚ. Napr. v rámci Slovenska, to ale zo zákona možné je.	23	11	Euro-záruka na zboží	Zboží zakoupené v EU by měĺo být možné reklamovat u stejné firmy v jakékoliv zemi EU	Reklamovat zboží obecně nelze u pobočky stejné firmy v jiné zemi EU. Např. v rámci Slovenska to ale ze zákona možné je. 
27	Euro-živnosť	Živnostenský list by mal stačiť na výkon daného remesla či podnikania po celej EÚ.	V súčasnej dobe nie je možné na základe napr. slovenského živnostenského listu dlhodobo podnikať v ČR. Ale rovnaký živnostenský list platí po celej Slovenskej republike.		11	Euro-živnost	Živnostenský list by měl stačit k výkonu daného řemesla či podnikání po celé EU. 	V současné době nelze např. na základě slovenského živnostenského listu dlouhodobě podnikat v ČR. Ale stejný živnostenský list platí po celé Slovensko. 
28	Erasmus na stredných školách	Erasmus by mal byť rozšírený aj na stredné školy.	Program Erasmus podporuje študentov vysokých škôl, aby časť štúdia prebehla v inej krajine EÚ. Náklady na Erasmus z rozpočtu EÚ sú teraz zhruba 2 miliardy eur ročne.	25	12	Erasmus na středních školách	Erasmus by měl být rozšířen i na střední školy.	Program Erasmus podporuje studenty vysokých škol, aby část studia proběhla v jiné zemi EU. Náklady Erasmu z rozpočtu EU jsou nyní zhruba 2 miliardy eur ročně.
29	Rovnaké sadzby DPH	Sadzby DPH by mali byť zjednotené v celej EÚ.	Výška dane z pridanej hodnoty je v právomoci členských krajín a je rôzna v ​​celej EÚ, základná sadzba od 15 do 27%, ale napr. u potravín je to medzi 0 a 27%. Tieto rozdiely niektorých obchodníkov zvýhodňujú a iných znevýhodňujú.			Stejné sazby DPH 	Sazby DPH by měly být sjednocené v celé EU.	Výše daně z přidané hodnoty je v pravomoci členských zemí a je různá v celé EU, základní sazba od 15 do 27 %, např. u potravin potom mezi 0 a 27 %. Tyto rozdíly některé obchodníky zvýhodňují a jiné znevýhodňují.
30	Registrácia auta	Registrácia auta by mala platiť v celej EÚ.	Teraz je nutné pre auto kúpené v inej krajine EÚ zariadiť špeciálne "prevozné číslo", krátkodobé povinné ručenie a po dovoze ho preregistrovať. Staršie autá nemožno v inej krajine EÚ kupovať vôbec.		13	Registrace auta	Registrace auta by měla platit po celé EU. 	Nyní je nutné pro auto koupené v jiné zemi EU zařídit speciální "převozní číslo", krátkodobé povinné ručení a po dovozu ho přeregistrovat. Starší auta nelze v jiné zemi EU kupovat vůbec. 
31	Dohoda EÚ-USA	Zmluva o "Transatlantickom partnerstve pre obchod a investície" (TTIP) medzi EÚ a USA by mala byť schválená.	Zástancovia dohody argumentujú, že posilní ekonomiku EÚ. Kritici varujú, že EÚ ani jej členské štáty nebudú môcť napr. účinne regulovať ťažbu bridlicového plynu, pestovanie geneticky upravených plodín alebo finančnú sféru.	12		Dohoda EU-USA	Smlouva o "Transatlantickém partnerství pro obchod a investice" (TTIP) mezi EU a USA by měla být schválena.	Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.
32	Diaľničná známka	Mala by existovať špeciálna diaľničná známka (alebo podobný systém) platná v celej EÚ.	V súčasnej dobe v 7 krajinách EÚ existujú diaľničné známky a v ďalších 10 sa platí mýto. Naopak povinné ručenie - "zelená karta" - platí po celej EÚ.	6		Dálniční známka 	Měla by existovat speciální dálniční známka (nebo podobný systém) platná v celé EU 	V současné době v 7 zemích EU existují dálniční známky a v dalších 10 se platí mýtné. Naopak povinné ručení - "zelená karta" - platí po celé EU. 
33	Žiarovky	Predaj žiaroviek nad 60W by mal byť opäť povolený.	Nariadenie EÚ zakazuje predaj žiaroviek nad 60W. Bolo zavedené z dôvodu obmedzenia plytvania energiou. Podobné platí napr. aj vo Švajčiarsku, Rusku, Austrálii, Kanade alebo Brazílii. Oponenti argumentujú, že alternatívy k žiarovke sú drahšie a nehodia sa na všetky použitia.	15		Žárovky	Prodej žárovek nad 60W by měl být opět povolen.	Nařízení EU zakazuje prodej žárovek nad 60W. Bylo zavedeno z důvodu omezení plýtvání energií. Podobné platí např. i ve Švýcarsku, Rusku, Austrálii, Kanadě nebo Brazílii. Oponenti argumentují, že alternativy k žárovce jsou dražší a nehodí se na všechna použití. 
34	Polícia EÚ	Polícia EÚ by sa mala zväčšiť.	V súčasnej dobe na úrovni EÚ pôsobí len Europol s menej než 1000 zamestnancami. Podľa zástancov by zväčšenie tejto inštitúcie zvýšilo bezpečnosť, podľa odporcov by polícia mala zostať v právomoci členských štátov.	16		Policie EU	Měla by se zvětšit policie EU. 	V současné době na úrovni EU působí jen Europol s méně než 1000 zaměstnanců. Podle zastánců by zvětšení této instituce zvýšilo bezpečnost, podle odpůrců by policie měla zůstat v pravomoci členských států.
35	Nižšie dotácie pre poľnohospodárstvo 	Dotovanie poľnohospodárov z peňazí EÚ by sa malo znížiť.	Viac ako 1/3 rozpočtu EÚ ide na podporu poľnohospodárstva, z najväčšej časti na priame dotácie poľnohospodárom. Podľa zástancov podpora poľnohospodárstva zvyšuje sebestačnosť EÚ oproti dovozu potravín z krajín mimo EÚ a zvyšuje životnú úroveň na vidieku. Podľa odporcov je príliš nákladná a zvyšuje ceny pre zákazníkov.	5		Nižší dotace pro zemědělství	Dotování zemědělců z peněz EU by se mělo snížit.	Více jak 1/3 rozpočtu EU jde na podporu zemědělství, z největší části na přímé dotace zemědělcům. Podle zastánců podpora zemědělství zvyšuje soběstačnost EU oproti dovozu potravin ze zemí mimo EU a zvyšuje životní úroveň na venkově. Podle odpůrců je příliš nákladná a zvyšuje ceny pro zákazníky.
36	Dáta o cestujúcich do USA	Letecké spoločnosti by mali ďalej posielať údaje o cestujúcich do USA.	Letecké spoločnosti sú teraz nútené posielať všetky údaje o cestujúcich do USA tamojšiemu ministerstvu vnútornej bezpečnosti, ktoré ich podľa dohody s EÚ legálne ukladá na 10 rokov. Zástancovia obhajujú tieto opatrenia bojom proti terorizmu. Oponenti poukazujú na slabú ochranu týchto dát proti zneužitiu.		-10	Data o cestujících do USA	Letecké společnosti by měly dále posílat data o cestujících do USA.	Letecké společnosti jsou nyní nuceny posílat veškeré údaje o cestujících do USA tamnímu Ministerstvu vnitřní bezpečnosti, které je dle dohody s EU legálně ukládá na 10 let. Zastánci obhajují opatření bojem proti terorismu. Oponenti ukazují na slabou ochranu těchto dat proti zneužití.
37	Dĺžka copyrightu	Lehota ochrany autorských diel by sa mala v EÚ skrátiť.	Autorské diela ako knihy alebo filmy sú v EÚ chránená po dobu 70 rokov od úmrtia autora, hudba po dobu 50 rokov. Obhajcovia argumentujú tým, že bez takejto ochrany, by niektoré diela ani nevznikli. Kritici upozorňujú, že takto dlhá ochrana obmedzuje tvorbu odvodených diel, a že táto ochrana pôvodne fungovala len ako ochrana autora pred vydavateľom, nie pre nekomerčné využitie.	17		Délka copyrightu	Doba ochrany autorských děl by se měla v EU zkrátit.	Autorská díla jako knihy nebo filmy jsou v EU chráněna po dobu 70 let od úmrtí autora, hudba po dobu 50 let. Obhájci argumentují tím, že bez takové ochrany by některá díla ani nevznikla. Kritici upozorňují, že takto dlouhá ochrana omezuje tvorbu odvozených děl a že tato ochrana původně fungovala jen jako ochrana autora před vydavatelem, nikoliv pro nekomerční využití. 
38	Obmedzenia voľného pohybu pracovníkov	Krajiny EÚ by mali mať možnosť obmedziť zamestnávanie občanov z iných krajín EÚ.	Voľný pohyb zamestnancov (možnosť byť zamestnaný v akejkoľvek krajine EÚ) je jednou zo základných slobôd v EÚ. Kritici argumentujú napr. zneužívaním sociálneho systému cieľovej krajiny. Obhajcovia ukazujú, že krajina, kde ľudia z iných krajín pracujú, na tom celkovo ekonomicky zarába.			Omezení volného pohybu pracovníků	Země EU by měly mít možnost omezit zaměstnávání občanů z jiných zemí EU. 	Volný pohyb zaměstnanců (možnost být zaměstnán v jakékoliv zemi EU) je jednou ze základních svobod v EU. Kritici argumentují např. zneužíváním sociálního systému cílové země. Obhájci ukazují, že země, kde lidé z jiných zemí pracují, na tom celkově ekonomicky vydělává.
40	Tuzemský rum a nátierkové maslo	EÚ by mala prestať určovať podrobné normy pre potraviny.	V EÚ existujú normy, ktoré okrem iného vyhradzujú predajné označenie 'maslo' pre produkty obsahujúce aspoň 80% mliečneho tuku, odtiaľ pochádza povinnosť stiahnuť názov 'nátierkové maslo', ktoré obsahuje tuku výrazne menej. Podobne 'rum' musí obsahovať alkohol z cukrovej trstiny, čomu tak nie je v prípade 'tuzemského rumu'.	26		Tuzemský rum a pomazánkové máslo 	EU by měla přestat určovat podrobné normy pro potraviny.	V EU existují normy, které mj. vyhrazují prodejní označení 'máslo' pro produkty obsahující alespoň 80 % mléčného tuku, odtud povinnost stáhnout název 'pomazánkové máslo', které obsahuje tuku výrazně méně. Podobně 'rum' musí obsahovat alkohol z cukrové třtiny, čemuž tak není v případě 'tuzemského rumu'. 
42	Slovenská koruna	Slovenská republika by sa malo vrátiť ku slovenskej korune.	Eurom sa platí v 18 krajinách EÚ a niekoľkých ďalších mimo EÚ. Zo susedných krajín sa používa euro len v Rakúsku. V Českej republike, v Poľsku, v Maďarsku a na Ukrajine nie. Členské štáty sa vstupom do EÚ zaviazali k prijatiu Eura. Podľa zástancov je používanie Eura ekonomicky výhodné, podľa odporcov tomu tak nie je.	19	-10	Slovenská koruna	Slovensko by se mělo vrátit ke Slovenské koruně.	Eurem se platí v 18 zemích EU a několika dalších mimo EU. Ze sousedních zemí se Euro používá jen v Rakousku, v České republice, v Polsku, v Maďarsku a na Ukrajině ne. Členské státy se vstupem do EU zavázaly k přijetí Eura. Podle zastánců je používání Eura ekonomicky výhodné, podle odpůrců tomu tak není.
43	Vystúpenie z EÚ	Slovensko by malo vystúpiť z EÚ.	Európsku úniu tvorí 28 krajín. Mimo EÚ je v Európe napríklad Ukrajina, Bielorusko, Švajčiarsko alebo Nórsko.	1	-10	Vystoupení z EU	Slovensko by mělo vystoupit z EU.	Evropskou unii tvoří 28 zemí, mj. všechny sousední země. Mimo EU je v Evropě např. Ukrajina, Bělorusko, Švýcarsko nebo Norsko.
